File,Lines,Words,KeywordMatches
C:\Users\Kirill\AppData\Local\Temp\.ses,0,0,0
C:\Users\Kirill\AppData\Local\Temp\06d8bbed-c212-4c47-a6ed-d44721b94a7f.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\0fe7a39f-1bf0-4d55-ae38-1dacd16a70af.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\1024b493-c37f-4a37-9fdf-e229bdc2803d.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\156cea24-730d-460c-bf73-0b9c4b70fbb5.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\3087.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\3f976228-c34c-4f86-91c0-59d8661d68d4.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\4c5b176a-dbdc-435d-aeb2-4a261a2c93d5.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\70BE.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\733dbdd1-f129-455b-9f51-466c3328fad7.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\b8ee1c10-4b42-43ac-b064-d6bdd3013f0c.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\c84134be-3aa9-4eb8-a935-3b94b1c66ad0.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\ccfdefc6-6b6b-4c30-ace3-f79012106351.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\dd_BackgroundDownload_20260426131706_result_Success.log,0,0,0
C:\Users\Kirill\AppData\Local\Temp\dd_BackgroundDownload_20260426131706.log,27,183,0
C:\Users\Kirill\AppData\Local\Temp\edg1CA1.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\edg31AF.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\F26B.tmp,0,0,0
C:\Users\Kirill\AppData\Local\Temp\fontconfig\cache\CACHEDIR.TAG,0,0,0
C:\Users\Kirill\AppData\Local\Temp\fontconfig\cache\d37c5b357b40378efbccc09f5278b069-le64.cache-4,0,0,0
C:\Users\Kirill\AppData\Local\Temp\fontconfig\cache\ef9c9ad8cc5857eb63cb3660bc8bd202-le64.cache-4,0,0,0
C:\Users\Kirill\AppData\Local\Temp\mat-debug-10900.log,0,0,0
C:\Users\Kirill\AppData\Local\Temp\mat-debug-15224.log,0,0,0
C:\Users\Kirill\AppData\Local\Temp\mat-debug-9584.log,0,0,0
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\2D637385-AadAccountProviderService-19340-zgkbqsx3-1.log,10,124,4
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\2D637385-AadAccountProviderService-19340-zk041g50-1.log,20,248,8
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\819F441E-AadAccountProviderService-5312-22ysfs0s-1.log,10,124,4
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\819F441E-AadAccountProviderService-5312-3yzpzrzi-1.log,20,248,8
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\8289FADE-AadAccountProviderService-16076-mlxcm2ln-1.log,20,248,8
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\8289FADE-AadAccountProviderService-16076-njnwe4wx-1.log,10,124,4
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\BAFA7E9D-AadAccountProviderService-18468-xmz5q0bj-1.log,10,124,4
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\BAFA7E9D-AadAccountProviderService-18468-aqazkt2g-1.log,20,248,8
C:\Users\Kirill\AppData\Local\Temp\servicehub\logs\D4498A96-AadAccountProviderService-15812-vog1gpha-1.log,10,124,4
